,venue,address,latitude,longitude,neighborhood,category
1194,Triplewide,,30.156191710608628,-97.83992146332302,SOUTH BRODIE,Food Truck
1195,Tropical Palms Shave Ice,,30.169110736068873,-97.83794007061458,SOUTH BRODIE,Food Truck
1196,Jaj Distributers,2514 Howellwood Way,30.175241999999997,-97.832614,SOUTH BRODIE,Food
1197,Likkity's Frozen Custard,11519 Manchaca Rd,30.162077435268095,-97.81669536609824,SLAUGHTER CREEK,Food Truck
1198,Taqueria Chapala,4201 S Congress Ave,30.22048039698652,-97.76500742706877,EAST CONGRESS,Mexican Restaurant
1199,A&W / Long John Silver's,1910 W Ben White Blvd,30.2305728625822,-97.78752768264195,SOUTH LAMAR,Fast Food Restaurant
1200,Capital Taco,,30.231398812884112,-97.7920754056178,WESTGATE,Food Truck
1201,Golden Chick,616 W. Stassney Ln.,30.20862778161542,-97.78097070338121,WEST CONGRESS,American Restaurant
1202,El Chilito,4501 Menchaca Rd,30.227912651314565,-97.78922488541548,SOUTH MANCHACA,Taco Place
1203,Nervous Charlie’s,5501 N Lamar Blvd,30.32351883519106,-97.72761090893337,NORTH LOOP,Bagel Shop
1204,BB.Q Chicken,6929 Airport Blvd Ste 158,30.336636,-97.716909,HIGHLAND,Fried Chicken Joint
1205,SONIC Drive In,5105 E Stassney Ln,30.1929624913091,-97.7394054830074,FRANKLIN PARK,Fast Food Restaurant
1206,Church's Chicken,5309 Nuckols Crossing Rd,30.192486340634012,-97.7389707129293,MCKINNEY,Fried Chicken Joint
1207,Little Caesars Pizza,"5200 E. WILLIAM CANNON DR., BLDG B - SUITE 100",30.18038606113555,-97.74789716004379,BLUFF SPRINGS,Pizza Place
1208,Domino's Pizza,5317 Nuckols Crossing Rd,30.192084998976934,-97.73856729269028,MCKINNEY,Pizza Place
1209,La Placita,5312 S Pleasant Valley Rd,30.194605514515672,-97.74517958050635,FRANKLIN PARK,Mexican Restaurant
1210,Mi Victoria Bakery,5200 E William Cannon Dr,30.180492967872578,-97.74786612404148,BLUFF SPRINGS,Mexican Restaurant
1211,Marianna's Kitchen,5510 S Interstate 35,30.200549405787257,-97.76351792931435,EAST CONGRESS,Mexican Restaurant
1212,Mi Ranchito Taqueria,5200 E William Cannon Dr,30.180280685424805,-97.74774932861328,BLUFF SPRINGS,Food
1213,Fruitlandia,,30.180719,-97.747339,BLUFF SPRINGS,Mexican Restaurant
1214,The Bistro @ Marriott Courtyard Austin South,,30.20911,-97.75435,FRANKLIN PARK,Restaurant
1215,Trudy's Food Truck,,30.19810870565175,-97.76183383622546,FRANKLIN PARK,Tex-Mex Restaurant
1216,La Reyna Bakery,,30.180380775409482,-97.74799645470726,BLUFF SPRINGS,Bakery
1217,Whataburger,11135 N Interstate 35,30.37543119839834,-97.67616032944774,WINDSOR HILLS,Burger Joint
1218,Jack in the Box,904 E Braker Ln,30.376070886225353,-97.6731213927269,TECH RIDGE,Fast Food Restaurant
1219,Vazquez Restaurant,915 E Braker Ln,30.375354,-97.672886,WINDSOR HILLS,Mexican Restaurant
1220,"Tortillería ""Río Grande""",900 E Braker Ln,30.376789,-97.673321,TECH RIDGE,Mexican Restaurant
1221,Thicket South Austin Food Park,,30.185361245277807,-97.79210194830262,DITTMAR--SLAUGHTER,Food Truck
1222,Taquerias Arandinas,700 W William Cannon Dr,30.19768887438834,-97.78782728429134,GARRISON PARK,Mexican Restaurant
1223,District Kitchen,7858 Shoal Creek Blvd,30.360674,-97.741455,ALLANDALE,American Restaurant
1224,Eldorado Cafe,3300 W Anderson Ln,30.361686495144937,-97.74175502634068,NORTH SHOAL CREEK,Mexican Restaurant
1225,Short Stop,3001 W Anderson Ln,30.360624695497837,-97.74069222202078,ALLANDALE,Burger Joint
1226,Tso Chinese Delivery,9333 Research Blvd Bldg E,30.38470407101771,-97.74113416671752,GATEWAY,Chinese Restaurant
1227,Shortie’s Pizza & Grinders,7858 Shoal Creek Blvd Ste C,30.36068,-97.74146,ALLANDALE,Pizza Place
1228,Taco Shack,3901 Spicewood Springs Rd,30.365339052966153,-97.75014654043426,NORTHWEST HILLS,Mexican Restaurant
1229,Einstein Bros Bagels,3022 W Anderson Ln,30.361227708425034,-97.74046495556826,NORTH SHOAL CREEK,Bagel Shop
1230,Jan Chi Korean Cuisine & BBQ,3808 Spicewood Springs Rd,30.36501,-97.749154,WESTOVER HILLS,Korean Restaurant
1231,Seven Spice,,30.365594,-97.750224,NORTHWEST HILLS,Restaurant
1232,Domino's Pizza,8141 Mesa Dr #C,30.373775594164876,-97.75539104642121,WESTOVER HILLS,Pizza Place
1233,Z'Tejas Mexican Restaurant and Grill,9400 Arboretum Blvd,30.389164758963155,-97.75293260790035,JOLLYVILLE,Mexican Restaurant
1234,SUBWAY,8023 Mesa Dr,30.370551335286272,-97.75735558873328,NORTHWEST HILLS,Sandwich Place
1235,Brama,3301 Steck Ave,30.366220474243164,-97.73872375488281,NORTH SHOAL CREEK,Eastern European Restaurant
1236,Delaware Subs,8105 Mesa Dr,30.37168149672796,-97.75694248244255,NORTHWEST HILLS,Sandwich Place
1237,Donn's Bar-B-Que,10003 FM 969,30.267302,-97.625885,ROGERS HILL,BBQ Joint
1238,Mi Casita,FM 969,30.268323,-97.626939,ROGERS HILL,Mexican Restaurant
1239,KIPP:High School Cafeteria,,30.270956,-97.634081,ROGERS HILL,Café
1240,La Parrillita,6107 Tiner Trl,30.289532,-97.639531,ROGERS HILL,Mexican Restaurant
1241,Taqueria Patos,,30.279703,-97.64556,ROGERS HILL,Taco Place
1242,McDonald's,5017 W Highway 290,30.2323911,-97.822618,EAST OAK HILL,Fast Food Restaurant
1243,Chick-fil-A,5033-D US 290 West,30.2329823,-97.8247877,EAST OAK HILL,Fast Food Restaurant
1244,Taco Ranch,"5033 W Hwy 290 Service Rd, #C",30.233522165944215,-97.82439050674712,EAST OAK HILL,Taco Place
1245,Potbelly Sandwich Shop,"5300 S. Mopac Expy, Suite 503",30.234973,-97.82653,EAST OAK HILL,Sandwich Place
1246,La Traila,,30.235579397255574,-97.83908746555689,EAST OAK HILL,Food Truck
1247,Wendy’s,4961 W Highway 290,30.232185477979346,-97.81910307706761,WESTGATE,Fast Food Restaurant
1248,Serranos Cocina y Cantina - Mopac,5030 U.S. 290 W,30.23618588,-97.82176583,EAST OAK HILL,Mexican Restaurant
1249,Applebee's Grill + Bar,5010 W Highway 290,30.23508363,-97.82102702,EAST OAK HILL,American Restaurant
1250,Donut Tacos Palace,5446 W Highway 290,30.237308510470584,-97.84019597871075,EAST OAK HILL,Donut Shop
1251,Schlotzsky's,5601 Brodie Ln Ste 1700,30.22856202265133,-97.81970319350243,WESTGATE,Restaurant
1252,Cypress Grill,4404 W William Cannon Dr Ste L,30.22384809463382,-97.83891131586915,EAST OAK HILL,Cajun / Creole Restaurant
1253,la Madeleine French Bakery & Café Sunset Valley,5493 Brodie Ln,30.229638,-97.819636,WESTGATE,French Restaurant
1254,Jersey Mike's Subs,"4404 W. William Cannon, Suite K, Next To Gold'S Gym",30.22376,-97.83898,EAST OAK HILL,Sandwich Place
