,venue,address,latitude,longitude
250,Burger King,"5013 Walzem Rd, Windcrest, TX 78218, USA",29.5107548,-98.390349
251,Starbucks,"4901 Walzem Rd, San Antonio, TX 78218, USA",29.5106292,-98.3948237
252,Starbucks,"1858 N Loop 1604 W, San Antonio, TX 78248, USA",29.6076147,-98.52237029999999
253,Burger King,"2002 N Loop 1604 W, San Antonio, TX 78248, USA",29.6072456,-98.52391449999999
254,Burger King,"6359 Rittiman Rd, San Antonio, TX 78218, USA",29.4810479,-98.3616869
255,Starbucks,"210 W Bitters Rd, San Antonio, TX 78216, USA",29.5667714,-98.48533979999999
256,EZ'S Brick Oven & Grill,"734 W Bitters Rd, San Antonio, TX 78216, USA",29.5656506,-98.483953
257,Burger King,"Aafes Mini-mall Building 5184, San Antonio, TX 78257, USA",29.4624802,-98.4347738
258,Burger King,"14021 U.S. Hwy 87 W, La Vernia, TX 78121, USA",29.3568501,-98.1293115
259,Burger King,"4618 Rittiman Rd, San Antonio, TX 78218, USA",29.4836074,-98.4011761
260,The Longhorn Cafe,"369 S Esser Rd, Boerne, TX 78006, USA",29.7881064,-98.7153196
261,Starbucks,"9800 Airport Blvd Suite 2090, San Antonio, TX 78216, USA",29.5288868,-98.47208760000001
262,Starbucks,"16852 NW Military Hwy, Shavano Park, TX 78231, USA",29.5990086,-98.5627665
263,Starbucks,"12711 Blanco Rd, San Antonio, TX 78216, USA",29.5569779,-98.5171034
264,Starbucks,"23783 I-10, San Antonio, TX 78257, USA",29.66341689999999,-98.6315516
265,The Longhorn Cafe,"23775 I-10, San Antonio, TX 78257, USA",29.6628899,-98.63153709999999
266,Burger King,"8922 Airport Blvd, San Antonio, TX 78216, USA",29.5210959,-98.4763464
267,The Longhorn Cafe,"1003 Rittiman Rd, San Antonio, TX 78218, USA",29.4859046,-98.4288814
268,Starbucks,"1901 Nacogdoches Rd  San Antonio, TX 78209, USA",29.5061204,-98.4587414
269,Starbucks,"2414 Harry Wurzbach Rd, San Antonio, TX 78218, USA",29.4853177,-98.42971039999999
270,Burger King,"6170 Ih 10 East, San Antonio, TX 78219, USA",29.4432776,-98.36184639999999
271,Burger King,"1327 S Main St, Boerne, TX 78006, USA",29.7798044,-98.72822169999999
272,Revolución Coffee + Juice,"7959 Broadway  San Antonio, TX 78209, USA",29.506855,-98.46697069999999
273,Burger King,"1102 S State Hwy 16, Fredericksburg, TX 78624, USA",30.2604158,-98.88394029999999
274,Project Pollo,"9519 San Pedro Ave, San Antonio, TX 78216, USA",29.5273871,-98.49895339999999
275,Starbucks,"1223 Austin Hwy, San Antonio, TX 78209, USA",29.4880669,-98.44750259999999
